"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL3415358";"";"0";"376.42";"0";"2.18";"17";"C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2ccc(F)c(F)c2)n1";"IC50";"'='";"1663.41";"nM";"5.78";"";"";"UO_0000065";"15.35";"0.32";"3.60";"5.80";"False";"CHEMBL4036634";"Inhibition of LSD1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4033745";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";""
"CHEMBL3144163";"";"0";"796.04";"3";"7.49";"25";"Cl.Cl.S=C(NCCCNCCCCCCCNCCCNC(=S)NCC(c1ccccc1)c1ccccc1)NCC(c1ccccc1)c1ccccc1";"Inhibition";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL1119026";"Inhibition of LSD1 in human Calu6 cells assessed as increase in GATA4 gene expression at 10 uM after 24 hrs by quantitative PCR analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Calu-6";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155444";"1";"Scientific Literature";"J. Med. Chem.";"2010";"CHEMBL3307639";""
"CHEMBL3144164";"";"0";"753.95";"3";"6.32";"26";"Cl.Cl.S=C(NCCCNCCCCNCCCNC(=S)NCC(c1ccccc1)c1ccccc1)NCC(c1ccccc1)c1ccccc1";"Inhibition";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL1119026";"Inhibition of LSD1 in human Calu6 cells assessed as increase in GATA4 gene expression at 10 uM after 24 hrs by quantitative PCR analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Calu-6";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155444";"1";"Scientific Literature";"J. Med. Chem.";"2010";"CHEMBL3307639";""
"CHEMBL4299338";"";"0";"2381.74";"None";"None";"4";"CNNCCC[C@@H](NC(=O)[C@@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCCN)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CO)C(=O)N[C@H](CC(=O)O)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CC(N)=O)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCCN)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](Cc1ccc(O)cc1)C(=O)N[C@H](CO)C(=O)N[C@H](CCC(N)=O)C(N)=O)C(C)C";"IC50";"'='";"8400.0";"nM";"5.08";"";"";"UO_0000065";"2.13";"None";"None";"None";"False";"CHEMBL3776538";"Inhibition of full length N-terminal His-tagged human recombinant LSD1 (1 to 852 residues) expressed in Escherichia coli BL21(DE3) cells using H3K4me2 peptide as substrate preincubated for 5 mins followed by substrate addition measured for 30 mins by peroxidase coupled assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3774333";"1";"Scientific Literature";"J. Med. Chem.";"2016";"None";""
"CHEMBL4088366";"";"0";"181.21";"0";"1.59";"9a";"COc1cccc([C@@]2(F)C[C@@H]2N)c1";"Activity";"'='";"87.4";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL4039118";"Inhibition of LSD1 in human MV411 cells assessed as CD86 expression by measuring total cell levels at 3 uM after 48 hrs by flow cytometric analysis (Rvb = 1.69%)";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4038297";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";""
"CHEMBL4082098";"";"0";"361.47";"0";"4.78";"5c";"Cc1ccc(Nc2cc(C)nc3nc(SCc4ccccc4)nn23)cc1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4042261";"Inhibition of recombinant human LSD1 (157 to 852 residues) expressed in Escherichia coli BL21(DE3) using H3K4me2 as substrate preincubated for 1 hr followed by substrate addition by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4041507";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";""
"CHEMBL4083013";"";"0";"169.17";"0";"1.72";"8f";"N[C@H]1C[C@@]1(F)c1ccc(F)cc1";"IC50";"'>'";"25000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4039114";"Inhibition of recombinant human His-tagged LSD1 expressed in Escherichia coli BL21 (DE3) using H3K4me2 peptide as substrate preincubated for 10 mins followed by substrate addition measured after 20 mins by Amplex red dye based fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4038297";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";""
"CHEMBL4063580";"";"0";"277.23";"0";"4.24";"7h";"N[C@H]1C[C@]1(F)c1ccc(S(F)(F)(F)(F)F)cc1";"IC50";"'='";"800.0";"nM";"6.10";"";"";"UO_0000065";"21.99";"0.49";"1.86";"23.43";"False";"CHEMBL4039114";"Inhibition of recombinant human His-tagged LSD1 expressed in Escherichia coli BL21 (DE3) using H3K4me2 peptide as substrate preincubated for 10 mins followed by substrate addition measured after 20 mins by Amplex red dye based fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4038297";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";""
"CHEMBL4557550";"";"0";"427.53";"0";"3.08";"7d";"O=C(N/N=C1\CCc2cccc(O)c21)c1ccc(S(=O)(=O)NC2CCCCC2)cc1";"Inhibition";"'='";"3.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL4432424";"Inhibition of LSD1 (unknown origin) at 50 uM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4431347";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2016";"None";""
"CHEMBL3736127";"";"0";"583.73";"1";"2.79";"5";"CN1CCN(C(=O)CNC2CC2c2cccc(OCC[C@H](NC(=O)c3ccccc3)C(=O)NCc3ccccc3)c2)CC1";"Ratio IC50";"'='";"6.0";"";"";"";"";"";"";"";"";"";"False";"CHEMBL3737803";"Potency index, ratio of IC50 for NCL1 to IC50 for test compound against full length human fusion His6 tagged LSD1 expressed in Escherichia coli BL21(DE3) cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3734748";"1";"Scientific Literature";"MedChemComm";"2015";"None";""
"CHEMBL3217134";"";"0";"583.65";"2";"3.90";"7";"Cl.Cl.O=C(NCCCNCCCCCCCNCCCNC(=O)NCc1ccccc1)NCc1ccccc1";"Activity";"'='";"100.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1119016";"Inhibition of N-terminal histidine-tagged full length human recombinant LSD1 expressed in Escherichia coli BL2 (DE3) assessed as residual activity at 10 uM by chemiluminescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155444";"1";"Scientific Literature";"J. Med. Chem.";"2010";"None";""
"CHEMBL3216048";"";"0";"477.62";"1";"1.47";"9";"CCCNC(=S)NCCCNCCCCNCCCNC(=S)NCCC.Cl.Cl";"Inhibition";"'<'";"20.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1119017";"Inhibition of N-terminal histidine-tagged full length human recombinant LSD1 expressed in Escherichia coli BL2 (DE3) at 10 uM by chemiluminescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155444";"1";"Scientific Literature";"J. Med. Chem.";"2010";"None";""
"CHEMBL3144159";"";"0";"749.87";"3";"6.77";"21";"Cl.Cl.O=C(NCCCNCCCCNCCCNC(=O)NCCC(c1ccccc1)c1ccccc1)NCCC(c1ccccc1)c1ccccc1";"Inhibition";"'<'";"20.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1119017";"Inhibition of N-terminal histidine-tagged full length human recombinant LSD1 expressed in Escherichia coli BL2 (DE3) at 10 uM by chemiluminescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155444";"1";"Scientific Literature";"J. Med. Chem.";"2010";"None";""
"CHEMBL3144160";"";"0";"782.01";"3";"7.10";"22";"Cl.Cl.S=C(NCCCNCCCCNCCCNC(=S)NCCC(c1ccccc1)c1ccccc1)NCCC(c1ccccc1)c1ccccc1";"Inhibition";"'<'";"20.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1119017";"Inhibition of N-terminal histidine-tagged full length human recombinant LSD1 expressed in Escherichia coli BL2 (DE3) at 10 uM by chemiluminescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155444";"1";"Scientific Literature";"J. Med. Chem.";"2010";"None";""
"CHEMBL3216466";"";"0";"527.54";"1";"2.33";"15";"Cl.Cl.O=C(NCCCNCCCNCCCNC(=O)NCc1ccccc1)NCc1ccccc1";"Activity";"'='";"60.5";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1119016";"Inhibition of N-terminal histidine-tagged full length human recombinant LSD1 expressed in Escherichia coli BL2 (DE3) assessed as residual activity at 10 uM by chemiluminescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155444";"1";"Scientific Literature";"J. Med. Chem.";"2010";"None";""
"CHEMBL3884919";"";"0";"1304.61";"None";"None";"2";"CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]2CCCN2C(=O)OCCSSCCOC(=O)NCCCC[C@@H](C(=O)N2CCC[C@H]2C(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C(C)C)NC1=O";"Ki";"'='";"37000.0";"nM";"4.43";"";"";"UO_0000065";"3.40";"None";"None";"None";"False";"CHEMBL3877043";"Inhibition of human LSD1 assessed as reduction in H2O2 production using H3K4me2 (1 to 20 residues) peptide as substrate preincubated for 10 mins followed by substrate addition measured after 30 mins in absence of DTT by peroxidase coupled enzyme assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3875223";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"None";""
"CHEMBL4541896";"";"0";"435.93";"0";"3.16";"7v";"CCN(CC)S(=O)(=O)c1ccc(C(=O)N/N=C2\CCc3c(Cl)ccc(O)c32)cc1";"Inhibition";"'='";"4.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL4432424";"Inhibition of LSD1 (unknown origin) at 50 uM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4431347";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2016";"None";""
"CHEMBL4471546";"";"0";"385.45";"0";"1.91";"7h";"O=C(N/N=C1\CCc2cccc(O)c21)c1ccc(S(=O)(=O)NC2CC2)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4432426";"Inhibition of LSD1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4431347";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2016";"None";""
"CHEMBL4569097";"";"0";"393.85";"0";"2.03";"7p";"CNS(=O)(=O)c1ccc(C(=O)N/N=C2\CCc3c(Cl)ccc(O)c32)cc1";"Inhibition";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL4432425";"Inhibition of LSD1 (unknown origin) at 10 uM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4431347";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2016";"None";""
"CHEMBL4460435";"";"0";"403.26";"0";"4.15";"9h";"C=C1C(=O)OCC1C(O)c1cn(Cc2ccc(Cl)cn2)c2ccc(Cl)cc12";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4396034";"Inhibition of recombinant LSD1 (unknown origin) (catalytic domain 157 to 852 residues) expressed in Escherichia coli BL21 using H3K4me1 as substrate incubated for 1 hr by horse-radish peroxidase/amplex red-based fluorescence method";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4393711";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL3144158";"";"0";"735.84";"3";"6.38";"19";"Cl.Cl.O=C(NCCCNCCCNCCCNC(=O)NCCC(c1ccccc1)c1ccccc1)NCCC(c1ccccc1)c1ccccc1";"Activity";"'='";"92.9";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1119016";"Inhibition of N-terminal histidine-tagged full length human recombinant LSD1 expressed in Escherichia coli BL2 (DE3) assessed as residual activity at 10 uM by chemiluminescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155444";"1";"Scientific Literature";"J. Med. Chem.";"2010";"None";""
"CHEMBL4166013";"";"0";"181.67";"0";"1.28";"(-)-12b-1";"Cl.N[C@H]1[C@H]2Cc3ccccc3[C@@H]12";"IC50";"'='";"7900.0";"nM";"5.10";"";"";"UO_0000065";"35.14";"0.63";"3.82";"19.61";"False";"CHEMBL4135161";"Inhibition of human recombinant N-terminal His/GST-tagged LSD1 (172 to 852 residues) expressed in baculovirus infected insect cells using biotin-labeled H3K4me2 (1 to 24 residues) as substrate after 1 hr by TR-FRET assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130492";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";""
"CHEMBL3775711";"";"0";"348.50";"0";"3.47";"99";"Cc1nnc(NC(=O)c2cc([C@@H]3C[C@H]3NC3CCC3)c(C)s2)s1";"IC50";"'<'";"100.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3776819";"Inhibition of GST-tagged human LSD1 (172 to 833 residues) expressed in Escherichia coli C43(DE3) pLysS using biotinylated histone H3 mono methylated K4 peptide as substrate preincubated for 60 mins followed by substrate addition measured after 5 mins by time-resolved fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3774341";"1";"Scientific Literature";"ACS Med. Chem. Lett.";"2016";"None";""
"CHEMBL3787038";"";"0";"404.54";"0";"1.74";"32";"COC1(CN[C@@H]2C[C@H]2c2ccccc2)CCN(S(=O)(=O)c2ccn(C)n2)CC1";"IC50";"'<'";"100.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3789177";"Inhibition of human recombinant KDM1A expressed in Escherichia coli using biotin-histone H3 as substrate preincubated for 1 hr followed by substrate addition measured after 1 hr by TR-FRET assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3784917";"1";"Scientific Literature";"J. Med. Chem.";"2016";"None";""
"CHEMBL4458673";"";"0";"524.49";"1";"4.98";"C8";"Cc1cc(Nc2ccc(N3CCN(C)CC3)cc2)n2nc(SCc3ccc(Br)cc3)nc2n1";"IC50";"'='";"23090.0";"nM";"4.64";"";"";"UO_0000065";"8.84";"0.19";"-0.34";"7.53";"False";"CHEMBL4390982";"Inhibition of recombinant LSD1 (unknown origin) expressed in Escherichia coli BL21(DE) using H3K4me2 substrate by amplex red and horseradish peroxidase based fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4390644";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL4067124";"";"0";"347.45";"0";"4.47";"C30";"Cc1cc(Nc2ccccc2)n2nc(SCc3ccccc3)nc2n1";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4390982";"Inhibition of recombinant LSD1 (unknown origin) expressed in Escherichia coli BL21(DE) using H3K4me2 substrate by amplex red and horseradish peroxidase based fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4390644";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL8706";"CLORGILINE";"0";"272.18";"0";"3.33";"chlorgyline";"C#CCN(C)CCCOc1ccc(Cl)cc1Cl";"Inhibition";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL3388876";"Inhibition of KDM1A in human NB4 cells assessed as increase in Gfi-1b mRNA expression up to 100 uM incubated for 24 hrs by quantitative RT-PCR method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NB-4";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351849";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2014";"CHEMBL3308423";""
"CHEMBL3415352";"";"0";"430.52";"0";"1.93";"6b";"C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2cc(OC)c(OC)c(OC)c2)n1";"Inhibition";"";"";"";"";"";"Dose-dependent effect";"";"";"";"";"";"False";"CHEMBL3420668";"Inhibition of LSD1 in human MGC803 cells assessed as methylation of H3K4me1 after 48 hrs by Western blotting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MGC-803";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3414475";"1";"Scientific Literature";"J. Med. Chem.";"2015";"CHEMBL3706567";""
"CHEMBL3415352";"";"0";"430.52";"0";"1.93";"6b";"C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2cc(OC)c(OC)c(OC)c2)n1";"Ratio IC50";"'='";"42.0";"";"";"";"";"";"";"";"";"";"False";"CHEMBL3420663";"Ratio of 2-PCPA IC50 to compound IC50 for LSD1 (157 to 852) (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3414475";"1";"Scientific Literature";"J. Med. Chem.";"2015";"None";""
"CHEMBL3415548";"";"0";"320.20";"0";"4.05";"5j";"C#CCSc1nc(Cl)c(C#N)c(-c2cccc(Cl)c2)n1";"IC50";"'>'";"125000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3420662";"Inhibition of recombinant LSD1 (157 to 852) (unknown origin) transfected in Escherichia coli BL21(DE) by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3414475";"1";"Scientific Literature";"J. Med. Chem.";"2015";"None";""
"CHEMBL3415544";"";"0";"330.76";"0";"3.30";"5f";"C#CCSc1nc(Cl)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)n1";"IC50";"'>'";"125000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3420662";"Inhibition of recombinant LSD1 (157 to 852) (unknown origin) transfected in Escherichia coli BL21(DE) by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3414475";"1";"Scientific Literature";"J. Med. Chem.";"2015";"None";""
"CHEMBL3415541";"";"0";"299.79";"0";"3.70";"5c";"C#CCSc1nc(Cl)c(C#N)c(-c2ccc(C)cc2)n1";"IC50";"'='";"59160.0";"nM";"4.23";"";"";"UO_0000065";"14.10";"0.29";"0.53";"8.53";"True";"CHEMBL3420662";"Inhibition of recombinant LSD1 (157 to 852) (unknown origin) transfected in Escherichia coli BL21(DE) by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3414475";"1";"Scientific Literature";"J. Med. Chem.";"2015";"None";""
"CHEMBL3415539";"";"0";"285.76";"0";"3.39";"5a";"C#CCSc1nc(Cl)c(C#N)c(-c2ccccc2)n1";"IC50";"'='";"45750.0";"nM";"4.34";"";"";"UO_0000065";"15.19";"0.31";"0.95";"8.75";"True";"CHEMBL3420662";"Inhibition of recombinant LSD1 (157 to 852) (unknown origin) transfected in Escherichia coli BL21(DE) by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3414475";"1";"Scientific Literature";"J. Med. Chem.";"2015";"None";""
"CHEMBL3415536";"";"0";"455.77";"1";"5.90";"7k";"C#CCSc1nc(Nc2ccc(Cl)cc2)c(C#N)c(-c2ccc(Br)cc2)n1";"IC50";"'>'";"125000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3420662";"Inhibition of recombinant LSD1 (157 to 852) (unknown origin) transfected in Escherichia coli BL21(DE) by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3414475";"1";"Scientific Literature";"J. Med. Chem.";"2015";"None";""
"CHEMBL255520";"";"0";"212.09";"0";"2.26";"10";"N[C@@H]1C[C@H]1c1ccc(Br)cc1";"Kinact";"'='";"566.0";"uM";"";"";"";"UO_0000064";"";"";"";"";"False";"CHEMBL926831";"Inhibition of human LSD1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144791";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL4519151";"";"0";"473.65";"0";"4.65";"C20";"Cc1cc(Nc2ccc(N3CCN(C)CC3)cc2)n2nc(SCCCc3ccccc3)nc2n1";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4390982";"Inhibition of recombinant LSD1 (unknown origin) expressed in Escherichia coli BL21(DE) using H3K4me2 substrate by amplex red and horseradish peroxidase based fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4390644";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL2181950";"";"0";"193.21";"0";"0.76";"7";"N/C(CC(=O)Nc1ccccc1)=N\O";"IC50";"'='";"15600.0";"nM";"4.81";"";"";"UO_0000065";"24.88";"0.47";"4.05";"5.48";"False";"CHEMBL2184301";"Inhibition of human recombinant N-terminal histidine tagged LSD1 expressed in Escherichia coli BL21 (DE3) assessed as production of H2O2 using H3K4me2 H3K4me2 (1 to 21 amino acid residues) as substrate by chemiluminescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2177075";"1";"Scientific Literature";"J. Med. Chem.";"2012";"None";""
